,averagerating,numvotes,title,genres,Sport,Fantasy,Mystery,War,Biography,Drama,Comedy,History,Crime,Horror,Family,Adventure,Romance,Documentary,Sci-Fi,Action,Thriller,Music,Animation,year,dom_gross,for_gross,world_gross
0,4.2,50352,The Legend of Hercules,"Action,Adventure,Fantasy",False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,2014,18800000.0,42400000.0,61200000.0
1,5.1,8296,Baggage Claim,Comedy,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2013,21600000.0,887000.0,22487000.0
3,7.6,326657,Moneyball,"Biography,Drama,Sport",True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2011,75600000.0,34600000.0,110200000.0
4,6.5,87288,Hereafter,"Drama,Fantasy,Romance",False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2010,32700000.0,72500000.0,105200000.0
5,7.4,428142,Mission: Impossible - Ghost Protocol,"Action,Adventure,Thriller",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,2011,209400000.0,485300000.0,694700000.0
6,7.2,477771,21 Jump Street,"Action,Comedy,Crime",False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,2012,138400000.0,63100000.0,201500000.0
7,5.4,54646,Aloha,"Comedy,Drama,Romance",False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,2015,21100000.0,5200000.0,26300000.0
8,4.4,69199,Sex and the City 2,"Comedy,Drama,Romance",False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,2010,95300000.0,193000000.0,288300000.0
9,5.6,44490,Don't Be Afraid of the Dark,"Fantasy,Horror,Thriller",False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,2011,24000000.0,12900000.0,36900000.0
10,6.2,18431,Burke and Hare,"Comedy,Crime,History",False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,2011,4800.0,4300000.0,4304800.0
